testSystem,testName,testPath,compilerName,compilerCommand,startingCompilerDate,compilerOutput,runtimeOnly,binaryPath,startingRuntimeDate,runtimeOutput,gitCommit,testComments,
generic,test_target_teams_distribute_reduction_max.F90,tests/4.5/target_teams_distribute/test_target_teams_distribute_reduction_max.F90,4.5,ifx,ifx -I./ompvv -lm -O3 -qopenmp -fopenmp-targets=spir64 -fiopenmp,PASS,[0;32m  running previously compiled: bin/test_target_teams_distribute_reduction_max.F90.FOR.runonly [0m,FALSE,bin/test_target_teams_distribute_reduction_max.F90,PASS,[0;32m  running: bin/test_target_teams_distribute_reduction_max.F90.FOR.run [0mtest_target_teams_distribute_reduction_max.F90.o: PASS. exit code: 0,00cdf3f,none
generic,alpaka_complex_template.cpp,tests/4.5/application_kernels/alpaka_complex_template.cpp,4.5,icpx 16.0.0,icpx -I./ompvv -lm -O3 -qopenmp -fopenmp-targets=spir64 -fiopenmp,PASS,,FALSE,bin/alpaka_complex_template.cpp,PASS,[0;32m  running previously compiled: bin/alpaka_complex_template.cpp.runonly [0malpaka_complex_template.cpp.o: PASS. exit code: 0,00cdf3f,none
generic,test_declare_target_to_extended_list.c,tests/4.5/declare_target/test_declare_target_to_extended_list.c,4.5,icx 16.0.0,icx -I./ompvv -lm -O3 -qopenmp -fopenmp-targets=spir64 -fiopenmp,PASS,,FALSE,bin/test_declare_target_to_extended_list.c,PASS,[0;32m  running previously compiled: bin/test_declare_target_to_extended_list.c.runonly [0m,00cdf3f,none
generic,test_target_data_if.c,tests/4.5/target_data/test_target_data_if.c,4.5,icx 16.0.0,icx -I./ompvv -lm -O3 -qopenmp -fopenmp-targets=spir64 -fiopenmp,PASS,,FALSE,bin/test_target_data_if.c,PASS,[0;32m  running previously compiled: bin/test_target_data_if.c.runonly [0m,00cdf3f,none
generic,test_target_data_map_classes.cpp,tests/4.5/target_data/test_target_data_map_classes.cpp,4.5,icpx 16.0.0,icpx -I./ompvv -lm -O3 -qopenmp -fopenmp-targets=spir64 -fiopenmp,PASS,,FALSE,bin/test_target_data_map_classes.cpp,PASS,[0;32m  running previously compiled: bin/test_target_data_map_classes.cpp.runonly [0mtest_target_data_map_classes.cpp.o: PASS. exit code: 0,00cdf3f,none
generic,test_target_enter_data_components_alloc.F90,tests/4.5/target_enter_data/test_target_enter_data_components_alloc.F90,4.5,ifx,ifx -I./ompvv -lm -O3 -qopenmp -fopenmp-targets=spir64 -fiopenmp,PASS,,FALSE,bin/test_target_enter_data_components_alloc.F90,PASS,[0;32m  running previously compiled: bin/test_target_enter_data_components_alloc.F90.FOR.runonly [0mtest_target_enter_data_components_alloc.F90.o: PASS. exit code: 0,00cdf3f,none
generic,test_target_enter_data_struct.c,tests/4.5/target_enter_data/test_target_enter_data_struct.c,4.5,icx 16.0.0,icx -I./ompvv -lm -O3 -qopenmp -fopenmp-targets=spir64 -fiopenmp,PASS,,FALSE,bin/test_target_enter_data_struct.c,PASS,[0;32m  running previously compiled: bin/test_target_enter_data_struct.c.runonly [0m,00cdf3f,none
generic,test_target_enter_exit_data_allocate_array_alloc_delete.F90,tests/4.5/target_enter_exit_data/test_target_enter_exit_data_allocate_array_alloc_delete.F90,4.5,ifx,ifx -I./ompvv -lm -O3 -qopenmp -fopenmp-targets=spir64 -fiopenmp,PASS,,FALSE,bin/test_target_enter_exit_data_allocate_array_alloc_delete.F90,PASS,[0;32m  running previously compiled: bin/test_target_enter_exit_data_allocate_array_alloc_delete.F90.FOR.runonly [0mtest_target_enter_exit_data_allocate_array_alloc_delete.F90.o: PASS. exit code: 0,00cdf3f,none
generic,test_target_enter_exit_data_depend.F90,tests/4.5/target_enter_exit_data/test_target_enter_exit_data_depend.F90,4.5,ifx,ifx -I./ompvv -lm -O3 -qopenmp -fopenmp-targets=spir64 -fiopenmp,PASS,,FALSE,bin/test_target_enter_exit_data_depend.F90,PASS,[0;32m  running previously compiled: bin/test_target_enter_exit_data_depend.F90.FOR.runonly [0mtest_target_enter_exit_data_depend.F90.o: PASS. exit code: 0,00cdf3f,none
generic,test_target_map_zero_length_pointer.c,tests/4.5/target/test_target_map_zero_length_pointer.c,4.5,icx 16.0.0,icx -I./ompvv -lm -O3 -qopenmp -fopenmp-targets=spir64 -fiopenmp,PASS,,FALSE,bin/test_target_map_zero_length_pointer.c,PASS,[0;32m  running previously compiled: bin/test_target_map_zero_length_pointer.c.runonly [0m,00cdf3f,none
generic,test_target_simd_safelen.F90,tests/4.5/target_simd/test_target_simd_safelen.F90,4.5,ifx,ifx -I./ompvv -lm -O3 -qopenmp -fopenmp-targets=spir64 -fiopenmp,PASS,,FALSE,bin/test_target_simd_safelen.F90,PASS,[0;32m  running previously compiled: bin/test_target_simd_safelen.F90.FOR.runonly [0mtest_target_simd_safelen.F90.o: PASS. exit code: 0,00cdf3f,none
